gc_orgID,GCOrg_legal_title,GCOrg_abbreviation,Candidate_infobaseID,Candidate_legal_title,Candidate_status,Candidate_end_fin,MatchScore,SecondBestScore,ReviewReasons
3517,Healthcare Excellence Canada (HEC),,559,Healthcare Excellence Canada (HEC),a,,100,75,
3572,Historic Sites and Monuments Board of Canada,,227,Parole Board of Canada,a,,81,78,low_score
3428,House of Commons,,2,House of Commons,a,,100,52,
2261,Immigration and Refugee Board,,174,Immigration and Refugee Board,a,,100,68,
2245,Impact Assessment Agency of Canada,,63,Impact Assessment Agency of Canada,a,,100,81,
3541,Indian Oil and Gas Canada,,175,Indian Oil and Gas Canada,a,,100,75,
3672,Indian Residential Schools Truth and Reconciliation Commission,,177,Indian Residential Schools Truth and Reconciliation Commission,d,2015,100,60,
3546,Industrial Technologies Office,,179,Industrial Technologies Office,t,2017,100,67,
3470,Institut national du sport du Québec,,180,Institut national du sport du Québec,a,,100,64,
3403,Inter-American Development Bank,,181,Inter-American Development Bank,a,,100,84,
3574,Intergovernmental Affairs,,76,Canadian Intergovernmental Conference Secretariat,a,,80,54,low_score
3471,Internal Trade Secretariat Corporation,,182,Internal Trade Secretariat Corporation,a,,100,64,
3404,International Bank for Reconstruction and Development,,183,International Bank for Reconstruction and Development,a,,100,89,
3527,International Centre for Human Rights and Democratic Development,,184,International Centre for Human Rights and Democratic Development,d,2012,100,87,
3405,International Development Association,,185,International Development Association,a,,100,80,
3641,International Development Research Centre,,186,International Development Research Centre,a,,100,87,
3406,International Finance Corporation,,187,International Finance Corporation,a,,100,80,
3472,International Fisheries Commissions Pension Society,,188,International Fisheries Commissions Pension Society,a,,100,65,
3407,International Joint Commission (Canadian Section),,189,International Joint Commission (Canadian Section),a,,100,86,
3408,International Lake Memphremagog Levels Board,,190,International Lake Memphremagog Levels Board,a,,100,70,
3409,International Lake of the Woods Control Board,,191,International Lake of the Woods Control Board,a,,100,100,collision_top2_close
3410,International Monetary Fund,,192,International Monetary Fund,a,,100,65,
3673,Inuvialuit Arbitration Board,,193,Inuvialuit Arbitration Board,d,2013,100,59,
2317,Invest in Canada Hub,,347,Invest in Canada Hub,a,,100,75,
3412,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),,233,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),a,,100,80,
3473,Lake of the Woods Control Board,,191,International Lake of the Woods Control Board,a,,100,100,collision_top2_close
3531,Last Post Fund,,196,Last Post Fund,t,2018,100,55,
3657,Laurentian Pilotage Authority,,197,Laurentian Pilotage Authority,a,,100,85,
2310,Law Commission of Canada,,198,Law Commission of Canada,a,,100,90,
3577,Leader of the Government in the House of Commons,,2,House of Commons,a,,100,60,
2296,Leaders’ Debates Commission,,350,Leaders' Debates Commission,a,,100,62,
2262,Library and Archives of Canada,,199,Library and Archives of Canada,a,,100,78,
3429,Library of Parliament,,200,Library of Parliament,a,,100,64,
3415,Lower Churchill Development Corporation Limited,,201,Lower Churchill Development Corporation Limited,a,,100,71,
3658,Marine Atlantic Inc.,,202,Marine Atlantic Inc.,a,,100,59,
3474,Maritime Forestry Complex Corporation,,203,Maritime Forestry Complex Corporation,a,,100,67,
3542,Measurement Canada,,204,Measurement Canada,a,,100,75,
3475,Mental Health Commission of Canada (MHCC),,206,Mental Health Commission of Canada (MHCC),a,,100,90,
3674,Merchant Seamen Compensation Board,,207,Merchant Seamen Compensation Board,d,2013,100,56,
3476,Milit-Air Inc.,,208,Milit-Air Inc.,a,,100,50,
2263,Military Grievances External Review Committee,,209,Military Grievances External Review Committee,a,,100,71,
2264,Military Police Complaints Commission,,210,Military Police Complaints Commission,a,,100,86,
3477,Montréal Port Authority,,212,Montréal Port Authority,a,,100,80,
3411,Multilateral Investment Guarantee Agency,,213,Multilateral Investment Guarantee Agency,a,,100,80,
3478,Nanaimo Port Authority,,214,Nanaimo Port Authority,a,,100,81,
3625,National Arts Centre Corporation,,217,National Arts Centre Corporation,a,,100,80,
3653,National Capital Commission,,219,National Capital Commission,a,,100,82,
2265,National Farm Products Council,,222,National Farm Products Council,a,,100,69,
2266,National Film Board,,223,National Film Board,a,,100,60,
3626,National Gallery of Canada,,224,National Gallery of Canada,a,,100,81,
3627,National Museum of Science and Technology,,226,National Museum of Science and Technology,a,,100,67,
