gc_orgID,harmonized_name_info,harmonized_name_concordance,nom_harmonisé_info,nom_harmonisé_concordance
3410.0,International Monetary Fund,International Monetary Fund,,Fonds monétaire international
3411.0,Multilateral Investment Guarantee Agency,Multilateral Investment Guarantee Agency,,Agence multilatérale de garantie des investissements
3412.0,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),,Comité consultatif public mixte (CCPM) de la Commission de coopération environnementale (CCE)
3413.0,World Anti-Doping Agency,World Anti-Doping Agency,,Agence mondiale antidopage
3414.0,Asian Infrastructure Investment Bank,Asian Infrastructure Investment Bank,,Banque asiatique d'investissement dans les infrastructures
3415.0,Lower Churchill Development Corporation Limited,Lower Churchill Development Corporation Limited,,Lower Churchill Development Corporation Limited
3416.0,North Portage Development Corporation (operating as The Forks North Portage Partnership),North Portage Development Corporation (operating as The Forks North Portage Partnership),,North Portage Development Corporation (exploitée sous le nom de The Forks North Portage Partnership)
3417.0,Communication Canada,Communication Canada,,Communication Canada
3418.0,Office of the Superintendent of Bankruptcy,Office of the Superintendent of Bankruptcy,,Bureau du surintendant des faillites
3419.0,Prairie Farm Rehabilitation Administration,Prairie Farm Rehabilitation Administration,,Administration du rétablissement agricole des Prairies
3420.0,Commissioner of Canada Election,Commissioner of Canada Election,,Commissaire aux élections fédérales
3421.0,Canada Investment and Savings,Canada Investment and Savings,,Placements Épargne Canada
3422.0,Director of Soldier Settlement,Director of Soldier Settlement,,Directeur de l'établissement de soldats
3423.0,"The Director, The Veterans' Land Act","The Director, The Veterans' Land Act",,Directeur des terres destinées aux anciens combattants
3424.0,Energy Supplies Allocation Board,Energy Supplies Allocation Board,,Office de répartition des approvisionnements d'énergie
3425.0,"Staff of the Non-Public Funds, Canadian Forces","Staff of the Non-Public Funds, Canadian Forces",,"Personnel des fonds non publics, Forces canadiennes"
3426.0,Statistics Survey Operations,Statistics Survey Operations,,Opérations des enquêtes statistiques
3427.0,Federal Judges not part of any department,Federal Judges not part of any department,,Juges fédéraux ne faisant pas partie d'un ministère
3428.0,House of Commons,House of Commons,,Chambre des communes
3429.0,Library of Parliament,Library of Parliament,,Bibliothèque du Parlement
3430.0,Office of the Conflict of Interest and Ethics Commissioner,Office of the Conflict of Interest and Ethics Commissioner,,Commissariat aux conflits d'intérêts et à l'éthique
3431.0,Senate Ethics Officer,Senate Ethics Officer,,Conseiller sénatorial en éthique
3432.0,Senate,Senate,,Sénat
3433.0,Office of the Parliamentary Budget Officer,Office of the Parliamentary Budget Officer,,Bureau du directeur parlementaire du budget
3434.0,Parliamentary Protective Service,Parliamentary Protective Service,,Service de protection parlementaire
