gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut
2319,Accessibility Standards Canada,,Canadian Accessibility Standards Development Organization,,Accessibility Standards Canada,,,,ASC,NAC,2,a
2396,Canadian Radio-television and Telecommunications Commission,,Canadian Radio-television and Telecommunications Commission,,Canadian Radio-television and Telecommunications Commission,,Canadian Heritage,,CRTC,CRTC,1.1,a
3399,African Development Bank,,African Development Bank,,,,,,,,,a
3400,Asian Development Bank,,Asian Development Bank,,,,,,,,,a
3401,Caribbean Development Bank,,Caribbean Development Bank,,,,,,,,,a
3402,European Bank for Reconstruction and Development,,European Bank for Reconstruction and Development,,,,,,,,,a
3403,Inter-American Development Bank,,Inter-American Development Bank,,,,,,,,,a
3404,International Bank for Reconstruction and Development,,International Bank for Reconstruction and Development,,,,,,,,,a
3405,International Development Association,,International Development Association,,,,,,,,,a
3406,International Finance Corporation,,International Finance Corporation,,,,,,,,,a
3407,International Joint Commission (Canadian Section),,International Joint Commission (Canadian Section),,,,,,,,4,a
3408,International Lake Memphremagog Levels Board,,International Lake Memphremagog Levels Board,,,,,,,,,a
3409,International Lake of the Woods Control Board,,International Lake of the Woods Control Board,,,,,,,,,a
3410,International Monetary Fund,,International Monetary Fund,,,,,,,,,a
3411,Multilateral Investment Guarantee Agency,,Multilateral Investment Guarantee Agency,,,,,,,,,a
3412,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),,,,,,,,,a
3413,World Anti-Doping Agency,,World Anti-Doping Agency,,,,,,,,,a
3414,Asian Infrastructure Investment Bank,,Asian Infrastructure Investment Bank,,,,,,,,,a
3415,Lower Churchill Development Corporation Limited,,Lower Churchill Development Corporation Limited,,,,,,,,,a
3416,North Portage Development Corporation (operating as The Forks North Portage Partnership),,North Portage Development Corporation (operating as The Forks North Portage Partnership),,,,,,,,,a
3417,Communication Canada,,Communication Canada,,,,,,,,4,a
3418,Office of the Superintendent of Bankruptcy,,Office of the Superintendent of Bankruptcy,,,,,,,,4,a
3419,Prairie Farm Rehabilitation Administration,,Prairie Farm Rehabilitation Administration,,,,,,,,4,a
3420,Commissioner of Canada Election,,Commissioner of Canada Election,,,,,,,,,a
3421,Canada Investment and Savings,,Canada Investment and Savings,,,,,,,,5,a
3422,Director of Soldier Settlement,,Director of Soldier Settlement,,,,,,,,4,a
3423,"The Director, The Veterans' Land Act",,"The Director, The Veterans' Land Act",,,,,,,,4,a
3424,Energy Supplies Allocation Board,,Energy Supplies Allocation Board,,,,Natural Resources Canada,,,,4,a
3425,"Staff of the Non-Public Funds, Canadian Forces",,"Staff of the Non-Public Funds, Canadian Forces",,,,,,,,5,a
3426,Statistics Survey Operations,,Statistics Survey Operations,,,,,,,,,a
3427,Federal Judges not part of any department,,Federal Judges not part of any department,,,,,,,,,a
3428,House of Commons,,House of Commons,,,,,,,,,a
3429,Library of Parliament,,Library of Parliament,,,,,,,,,a
3430,Office of the Conflict of Interest and Ethics Commissioner,,Office of the Conflict of Interest and Ethics Commissioner,,,,,,,,,a
3431,Senate Ethics Officer,,Senate Ethics Officer,,,,,,,,,a
3432,Senate,,Senate,,,,,,,,,a
3433,Office of the Parliamentary Budget Officer,,Office of the Parliamentary Budget Officer,,,,,,,,,a
3434,Parliamentary Protective Service,,Parliamentary Protective Service,,,,,,,,,a
3435,Aéroport de Québec Inc.,,Aéroport de Québec Inc.,,,,,,,,,a
3436,Aéroports de Montréal,,Aéroports de Montréal,,,,,,,,,a
3437,Asia-Pacific Foundation of Canada,,Asia-Pacific Foundation of Canada,,,,,,,,,a
3438,Association of Canada Lands Surveyors,,Association of Canada Lands Surveyors,,,,,,,,,a
3439,Belledune Port Authority,,Belledune Port Authority,,,,,,,,,a
3440,Buffalo and Fort Erie Public Bridge Authority,,Buffalo and Fort Erie Public Bridge Authority,,,,,,,,,a
3441,Calgary Airport Authority,,Calgary Airport Authority,,,,,,,,,a
3442,WinSport,,WinSport,,,,,,,,,a
3443,Canada Foundation for Innovation,,Canada Foundation for Innovation,,,,,,,,,a
3444,Canada Foundation for Sustainable Development Technology,,Canada Foundation for Sustainable Development Technology,,,,,,,,,a
3445,Canada Games Council,,Canada Games Council,,,,,,,,,a
3446,Canada Health Infoway Inc.,,Canada Health Infoway Inc.,,,,,,,,,a
3447,Canada Media Fund,,Canada Media Fund,,,,,,,,,a
3448,Canada-Newfoundland and Labrador Offshore Petroleum Board,,Canada-Newfoundland and Labrador Offshore Petroleum Board,,,,,,,,,a
3449,Canada-Nova Scotia Offshore Energy Regulator,,Canada-Nova Scotia Offshore Energy Regulator,,,,,,,,,a
3450,Canadian Agency for Drugs and Technologies in Health (CADTH),,Canadian Agency for Drugs and Technologies in Health (CADTH),,,,,,,,,a
