gc_orgID,harmonized_name,nom_harmonisé,abbreviation,abreviation,infobaseID,rg,ati,open_gov_ouvert,pop,phoenix,website,site_web,Organization Legal Name English,Organization Legal Name French,French Name,FAA,Original English Name,Names Match,Legal title,Applied title,Titre d'usage,legal_title,org_id,Harmonize_name
2247,Canadian Human Rights Commission,Commission canadienne des droits de la personne,CHRC,CCDP,71,75,Canadian Human Rights Commission,chrc-ccdp,HRC,HRC00,www.chrc-ccdp.gc.ca,www.ccdp-chrc.gc.ca,Canadian Human Rights Commission,Commission canadienne des droits de la personne,Commission canadienne des droits de la personne,1.1,Canadian Human Rights Commission,0,Canadian Human Rights Commission,,,Canadian Human Rights Commission,71.0,Canadian Human Rights Commission
2248,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,CICS,SCIC,76,43,,cics-scic,CIC,CIC00,www.scics.ca,www.scics.ca,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,Secrétariat des conférences intergouvernementales canadiennes,1.1,Canadian Intergovernmental Conference Secretariat,0,Canadian Intergovernmental Conference Secretariat,,,Canadian Intergovernmental Conference Secretariat,76.0,Canadian Intergovernmental Conference Secretariat
2249,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,CanNor,CanNor,86,78,Canadian Northern Economic Development Agency,cannor,NED,NED00,www.CanNor.gc.ca,www.CanNor.gc.ca,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,Agence canadienne de développement économique du Nord,1.1,Canadian Northern Economic Development Agency,0,Canadian Northern Economic Development Agency,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,Canadian Northern Economic Development Agency,86.0,Canadian Northern Economic Development Agency
2250,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,CSIS,SCRS,94,95,Canadian Security Intelligence Service,csis-scrs,CSI,PAY00,https://www.canada.ca/en/security-intelligence-service.html,https://www.canada.ca/fr/service-renseignement-securite.html,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,Service canadien du renseignement de sécurité,1.1,Canadian Security Intelligence Service,0,Canadian Security Intelligence Service,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,Canadian Security Intelligence Service,94.0,Canadian Security Intelligence Service
2251,Canadian Space Agency,Agence spatiale canadienne,CSA,ASC,95,119,Canadian Space Agency,csa-asc,CSA,CSA00,www.asc-csa.gc.ca,www.asc-csa.gc.ca,Canadian Space Agency,Agence spatiale canadienne,Agence spatiale canadienne,1.1,Canadian Space Agency,0,Canadian Space Agency,Canadian Space Agency,Agence spatiale canadienne,Canadian Space Agency,95.0,Canadian Space Agency
2252,Canadian Transportation Agency,Office des transports du Canada,CTA,OTC,99,40,Canadian Transportation Agency,cta-otc,ATN,ATN00,https://www.otc-cta.gc.ca/eng,https://www.otc-cta.gc.ca/fra,Canadian Transportation Agency,Office des transports du Canada,Office des transports du Canada,1.1,Canadian Transportation Agency,0,Canadian Transportation Agency,Canadian Transportation Agency,Office des transports du Canada,Canadian Transportation Agency,99.0,Canadian Transportation Agency
2253,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,CSE,CST,110,165,Communication Security Establishment,csec-cstc,CSE,CSE00,www.cse-cst.gc.ca,www.cse-cst.gc.ca,Communications Security Establishment,Centre de la sécurité des télécommunications,Centre de la sécurité des télécommunications,1.1,Communications Security Establishment,0,Communications Security Establishment,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,Communications Security Establishment,110.0,Communications Security Establishment Canada
2254,Copyright Board Canada,Commission du droit d'auteur Canada,CB,CDA,114,116,Copyright Board Canada,cb-cda,COP,COP00,https://cb-cda.gc.ca/en,https://cb-cda.gc.ca/fr,Copyright Board,Commission du droit d'auteur,Commission du droit d'auteur,1.1,Copyright Board,0,Copyright Board,Copyright Board Canada,Commission du droit d'auteur Canada,Copyright Board,114.0,Copyright Board Canada
2255,Correctional Service Canada,Service correctionnel Canada,CSC,SCC,117,53,Correctional Service of Canada,csc-scc,PEN,PEN00,www.canada.ca/correctional-service,www.canada.ca/service-correctionnel,Correctional Service of Canada,Service correctionnel du Canada,Service correctionnel du Canada,1.1,Correctional Service of Canada,0,Correctional Service of Canada,Correctional Service Canada,Service correctionnel Canada,Correctional Service of Canada,117.0,Correctional Service Canada
2256,Courts Administration Service,Service administratif des tribunaux judiciaires,CAS,SATJ,118,144,,cas-satj,CAJ,CAJ00,www.cas-satj.gc.ca,www.cas-satj.gc.ca,Courts Administration Service,Service administratif des tribunaux judiciaires,Service administratif des tribunaux judiciaires,1.1,Courts Administration Service,0,Courts Administration Service,Courts Administration Service,Service administratif des tribunaux judiciaires,Courts Administration Service,118.0,Courts Administration Service
2257,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,CED,DEC,141,12,Economic Development Agency of Canada for the Regions of Quebec,ced-dec,FRD,FRD00,https://www.canada.ca/en/economic-development-quebec-regions.html,https://www.canada.ca/fr/developpement-economique-regions-quebec.html,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,Agence de développement économique du Canada pour les régions du Québec,1.1,Economic Development Agency of Canada for the Regions of Quebec,0,Economic Development Agency of Canada for the Regions of Quebec,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,Economic Development Agency of Canada for the Regions of Quebec,141.0,Canada Economic Development for Quebec Regions
2258,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,FedDev Ontario,FedDev Ontario,150,62,Federal Economic Development Agency for Southern Ontario,feddevontario,ESO,ESO00,www.feddevontario.gc.ca,www.feddevontario.gc.ca,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,1.1,Federal Economic Development Agency for Southern Ontario,0,Federal Economic Development Agency for Southern Ontario,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,Federal Economic Development Agency for Southern Ontario,150.0,Federal Economic Development Agency for Southern Ontario
2259,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,FCAC,ACFC,151,141,Financial Consumer Agency of Canada,fcac-acfc,FNA,FNA00,www.fcac.gc.ca,www.acfc.gc.ca,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,Agence de la consommation en matière financière du Canada,1.1,Financial Consumer Agency of Canada,0,Financial Consumer Agency of Canada,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,Financial Consumer Agency of Canada,151.0,Financial Consumer Agency of Canada
2260,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,FINTRAC,CANAFE,152,139,Financial Transactions and Reports Analysis Centre of Canada,fintrac-canafe,CFC,CFC00,www.fintrac-canafe.gc.ca,www.canafe-fintrac.gc.ca,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Centre d'analyse des opérations et déclarations financières du Canada,1.1,Financial Transactions and Reports Analysis Centre of Canada,0,Financial Transactions and Reports Analysis Centre of Canada,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Financial Transactions and Reports Analysis Centre of Canada,152.0,Financial Transactions and Reports Analysis Centre of Canada
2261,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,IRB,CISR,174,32,Immigration and Refugee Board,irb-cisr,IRB,IRB00,www.irb-cisr.gc.ca,www.cisr-irb.gc.ca,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié,Commission de l'immigration et du statut de réfugié,1.1,Immigration and Refugee Board,0,Immigration and Refugee Board,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,Immigration and Refugee Board,174.0,Immigration and Refugee Board of Canada
2262,Library and Archives Canada,Bibliothèque et Archives Canada,LAC,BAC,199,145,Library and Archives of Canada,lac-bac,BAL,BAL00,library-archives.canada.ca,bibliotheque-archives.canada.ca,Library and Archives of Canada,Bibliothèque et Archives du Canada,Bibliothèque et Archives du Canada,1.1,Library and Archives of Canada,0,Library and Archives of Canada,Library and Archives Canada,Bibliothèque et Archives Canada,Library and Archives of Canada,199.0,Library and Archives Canada
2263,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,MGERC,CEEGM,209,138,Military Grievances External Review Committee,mgerc-ceegm,FCG,FCG00,www.canada.ca/en/military-grievances-external-review.html,www.canada.ca/fr/externe-examen-griefs-militaires.html,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,Comité externe d'examen des griefs militaires,1.1,Military Grievances External Review Committee,0,Military Grievances External Review Committee,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,Military Grievances External Review Committee,209.0,Military Grievances External Review Committee
2264,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,MPCC,CPPM,210,137,Military Police Complaints Commission,mpcc-cppm,CPM,CPM00,www.mpcc-cppm.gc.ca,www.mpcc-cppm.gc.ca,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire,Commission d'examen des plaintes concernant la police militaire,1.1,Military Police Complaints Commission,0,Military Police Complaints Commission,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,Military Police Complaints Commission,210.0,Military Police Complaints Commission of Canada
2265,Farm Products Council of Canada,Conseil des produits agricoles du Canada,FPCC,CPAC,222,,Farm Products Council of Canada,fpcc-cpac,FPN,,www.fpcc-cpac.gc.ca,www.fpcc-cpac.gc.ca,National Farm Products Council,Conseil national des produits agricoles,Conseil national des produits agricoles,1.1,National Farm Products Council,0,National Farm Products Council,Farm Products Council of Canada,Conseil des produits agricoles du Canada,National Farm Products Council,222.0,Farm Products Council of Canada
2266,National Film Board,Office national du film,NFB,ONF,223,39,National Film Board of Canada,nfb-onf,NFB,NFB00,www.onf-nfb.gc.ca,www.onf-nfb.gc.ca,National Film Board,Office national du film,Office national du film,1.1,National Film Board,0,National Film Board,,,National Film Board,223.0,National Film Board
2267,Parole Board of Canada,Commission des libérations conditionnelles du Canada,PBC,CLCC,227,57,Parole Board of Canada,pbc-clcc,NPB,NPB00,www.canada.ca/en/parole-board.html,www.canada.ca/fr/commission-liberations-conditionnelles.html,Parole Board of Canada,Commission des libérations conditionnelles du Canada,Commission des libérations conditionnelles du Canada,1.1,Parole Board of Canada,0,Parole Board of Canada,Parole Board of Canada,Commission des libérations conditionnelles du Canada,Parole Board of Canada,227.0,Parole Board of Canada
2268,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada,NPA,APN,235,66,Northern Pipeline Agency Canada,npa-apn,NPA,,https://northern-pipeline.canada.ca/home,https://pipe-line-nord.canada.ca/accueil,Northern Pipeline Agency,Administration du pipe-line du Nord,Administration du pipe-line du Nord,1.1,Northern Pipeline Agency,0,Northern Pipeline Agency,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada,Northern Pipeline Agency,235.0,Northern Pipeline Agency Canada
2269,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",HICC,LICC,237,242,Office of Infrastructure of Canada,infc,HIC,INF00,https://housing-infrastructure.canada.ca/,https://housing-infrastructure.canada.ca/,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l'Infrastructure et des Collectivités","Ministère du Logement, de l'Infrastructure et des Collectivités",1,"Department of Housing, Infrastructure and Communities",0,"Department of Housing, Infrastructure and Communities","Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada","Department of Housing, Infrastructure and Communities",237.0,"Housing, Infrastructure and Communities Canada"
2270,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,OAG,BVG,238,2,Office of the Auditor General of Canada,oag-bvg,AUD,AUD00,www.oag-bvg.gc.ca,www.oag-bvg.gc.ca,Office of the Auditor General,Bureau du vérificateur général,Bureau du vérificateur général,1.1,Office of the Auditor General,0,Office of the Auditor General,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,Office of the Auditor General,238.0,Office of the Auditor General of Canada
2271,Elections Canada,Élections Canada,elections,elections,239,15,Office of the Chief Electoral Officer,elections,CEO,CEO00,www.elections.ca,www.elections.ca,Office of the Chief Electoral Officer,Bureau du directeur général des élections,Bureau du directeur général des élections,1.1,Office of the Chief Electoral Officer,0,Office of the Chief Electoral Officer,,,Office of the Chief Electoral Officer,239.0,Elections Canada
2272,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada,FJA,CMF,240,51,,fja-cmf,FJA,FJA00,www.fja-cmf.gc.ca,www.fja-cmf.gc.ca,Office of the Commissioner for Federal Judicial Affairs,Commissariat à la magistrature fédérale,Bureau du commissaire à la magistrature fédérale,1.1,Office of the Commissioner for Federal Judicial Affairs,0,Office of the Commissioner for Federal Judicial Affairs,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada,Office of the Commissioner for Federal Judicial Affairs,240.0,Office of the Commissioner for Federal Judicial Affairs Canada
2273,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,OCL,CAL,241,154,Office of the Commissioner of Lobbying,ocl-cal,LOB,LOB00,https://lobbycanada.gc.ca/en,https://lobbycanada.gc.ca/fr,Office of the Commissioner of Lobbying,Commissariat au lobbying,Commissariat au lobbying,1.1,Office of the Commissioner of Lobbying,0,Office of the Commissioner of Lobbying,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,Office of the Commissioner of Lobbying,241.0,Office of the Commissioner of Lobbying of Canada
2274,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,OCOL,CLO,242,76,Office of the Commissioner of Official Languages,ocol-clo,COL,COL00,www.officiallanguages.gc.ca/en,www.officiallanguages.gc.ca/fr,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,Commissariat aux langues officielles,1.1,Office of the Commissioner of Official Languages,0,Office of the Commissioner of Official Languages,,,Office of the Commissioner of Official Languages,242.0,Office of the Commissioner of Official Languages
2275,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,,,244,197,Office of the Intelligence Commissioner of Canada,ocsec-bccst,OLC,OLC00,https://www.canada.ca/en/intelligence-commissioner.html,https://www.canada.ca/fr/commissaire-renseignement.html,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,Bureau du commissaire au renseignement,1.1,Office of the Intelligence Commissioner,0,Office of the Intelligence Commissioner,,,Office of the Intelligence Commissioner,244.0,Office of the Intelligence Commissioner
2276,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,OCI,BEC,247,,Office of the Correctional Investigator of Canada,oci-bec,OCI,,www.oci-bec.gc.ca,www.oci-bec.gc.ca,Office of the Correctional Investigator of Canada,Bureau de l'enquêteur correctionnel du Canada,Bureau de l'enquêteur correctionnel du Canada,1.1,Office of the Correctional Investigator of Canada,0,Office of the Correctional Investigator of Canada,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,Office of the Correctional Investigator of Canada,247.0,The Correctional Investigator Canada
2277,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,PPSC,SPPC,248,19,Public Prosecution Service of Canada,ppsc-sppc,PPD,PPD00,www.ppsc-sppc.gc.ca/,www.ppsc-sppc.gc.ca,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales,Bureau du directeur des poursuites pénales,1.1,Office of the Director of Public Prosecutions,0,Office of the Director of Public Prosecutions,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,Office of the Director of Public Prosecutions,248.0,Public Prosecution Service of Canada
